25 20
#############
#...........#    ########
#...s...s...######......#
#.......................#
#...........######...i..#
#.....s.....#    #......#
#...........#    #...e..#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #.......#      #......#
  #.......#      #...i..#
  #...i...#      #......#
  #.......#      #...c..#
  #.......#      #......#
  #...@...#      #......#
  #########       ######
